clicked_news	category	subcategory	title
N62	No category	No subcategory	Oppdal skisenter - Stølen
N63	No category	No subcategory	E6 Ulsberg
N64	No category	No subcategory	Varsler full vestlig storm i Trøndelag natt til nyttårsaften
N65	No category	No subcategory	Fv 30, Mosenget, Os
N66	No category	No subcategory	E6 Berkåk
N67	pluss	okonomi	Millionærdrømmen må starte med en genial idé
N68	No category	No subcategory	E6 Hjerkinn
N69	No category	No subcategory	E6, Melhus
N70	No category	No subcategory	E39 Hemnekjølen
N71	nyheter	trondheim	Har pusset opp Downtown for 10 millioner
N72	No category	No subcategory	Historiske trøndelagsbilder: Her må de løfte vekk bilen når trikken kommer
N73	No category	No subcategory	Oppdal flyplass, Fagerhaug
N74	kultur	film	- Mange av oss kunne vært medlemmer av Rinnanbanden
N75	No category	No subcategory	Høye ambisjoner går ikke hvis du skal spare på sykehus
N76	nyheter	sortrondelag	Gunn Røstad har fått ny jobb
N77	No category	No subcategory	Forberedt på storm, men foreløpig er det stille
N78	nyheter	sortrondelag	Flytter Luftforsvarets skoler til Værnes
N79	nyheter	trondheim	Tomine fra Trondheim er årets nyttårsbarn
N80	nyheter	sortrondelag	Siste nytt om brannen på Frøya
N81	nyheter	nordtrondelag	Kjøpte 8500 kilo sukker til HB-produksjon
N82	nyheter	trondheim	Slik er åpningstidene i mellomjula
N83	nyheter	trondheim	Credo tredje beste norske restaurant
N84	nyheter	politikk	Trondheim kommune vil ha eget super-asylmottak
N85	nyheter	trondheim	Hva gjør restaurantene Frati og Bari i en romantisk amerikansk julefilm?
N86	No category	No subcategory	Derfor forsvinner filmer og serier fra Netflix
N87	No category	No subcategory	Trondheim, fra havna mot Pirbadet
N88	100sport	sjakk	Carlsen med tirade på direkten: - Dummeste jeg har sett!
N89	100sport	vintersport	Svensk kommentator tror ikke på Johaug-forklaringen: - Var alt bare en bløff?
N90	forbruker	hjem	Hyttedrøm i endring
N91	nyheter	sortrondelag	Ulykke i Rennebu
N92	nyheter	trondheim	- Hold hunden i bånd, uansett om det er båndtvang eller ikke
N93	nyheter	innenriks	To rakettskader nyttårsnatten
N94	No category	No subcategory	80-talls nostalgi i herlige «Stranger Things»
N95	forbruker	hjem	Disse elektriske arbeidene bør du ikke gjøre selv
N96	nyheter	trondheim	Denne appen skal spleise folk på byen i Trondheim
N97	pluss	magasin	Ja takk til trøbbel
N98	No category	No subcategory	Her er de 20 beste filmene i 2016
N99	nyheter	trondheim	- Vi har ikke penger til nye klær og julegaver til barna
N100	No category	No subcategory	Fv715, Momyr
N101	nyheter	kuriosa	Sykkelen for de late
N102	100sport	ballsport	Fotballkeeperen var så god at han ble tvunget til å spille basket
N103	pluss	nyheter	Annonser fra martnan 1965: «Virkelig noe nytt for Trondheims-damene»
N104	No category	No subcategory	E6 Snåsa
N105	nyheter	trondheim	Hva husker du fra 1000-årsjubileet?
N106	nyheter	innenriks	Uvær stopper båtruter
N107	No category	No subcategory	Innsmoen, Verdal
N108	nyheter	trondheim	Her er den nye domprosten i Nidaros
N109	No category	No subcategory	Fv755 Meltingen
N110	No category	No subcategory	Her var det sommertemperaturer i natt
N111	nyheter	okonomi	Hurtigruten bygger to nye hybridskip
N112	pluss	magasin	«Alle» møttes på Bristol conditori
N113	pluss	kultur	Det var 16 kuldegrader i Trondheim, men det var ikke kulden som bekymret innbyggerne
N114	pluss	magasin	«Deilig er jorden» fikk en helt ny betydning i jula
N115	No category	No subcategory	Ekstremværet Urd på vei mot Sør-Norge
N116	No category	No subcategory	Like god til vanns?
N117	100sport	fotball	Demidovs personlige hilsen: Nå tar han endelig farvel med Brann
N118	kultur	vin	Sprudlende nyttårsbobler
N119	nyheter	nordtrondelag	- Mer ploging enn pløying
N120	No category	No subcategory	Trondheim kommune bør på rehabilitering
N121	No category	No subcategory	- Mye hud veier ikke opp for lite innhold
N122	kultur	vin	Heder til Faustino I
N123	100sport	sjakk	VM igjen? Her er alt du trenger å vite om sjakkfesten
N124	pluss	kultur	Trine bygde et eget kjøkken - kun for bloggen
N125	nyheter	innenriks	Hva betyr egentlig ditt barns navn?
N126	vaeret	klima	Denne grafen gjør klimaforskerne meget urolige
N127	100sport	sjakk	Ekspert satt ut av Carlsen: - Jeg tenkte «hva er dette for noe rør?»
N128	pluss	nyheter	Superbussdrift om vinteren kan bli et nytt pengesluk
N129	No category	No subcategory	Til topps med trehytte
N131	100sport	fotball	RBK-spillernes elleville Bakenga-veddemål
N132	pluss	nyheter	Banksjef og statsråd kan være aktuelle for NHO-toppjobben
N133	No category	No subcategory	Arve Tellefsen 80 år
N134	100sport	fotball	Fotballstjernen følte seg mobbet - var rasende på maskoten etter kampen
N135	nyheter	trondheim	- Det er utrolig grovt
N136	nyheter	trondheim	Lastebil sklei rett inn i en hage
N137	100sport	sprek	Ny forskning: Her er idrettene som er best for hjertet
N138	nyheter	sortrondelag	Snømangel og smått om skiføre i Røros
N139	No category	No subcategory	«Kongens nei» er uanstendig
N140	No category	No subcategory	Dette er årets russelåt 2015
N141	nyheter	sortrondelag	Bolig fikk store skader i Selbu
N142	nyheter	trondheim	Slik så det ut da Ikea åpnet for ti år siden
N143	nyheter	trondheim	Nå kan du levere inn ubrukt fyrverkeri på Tempe
N144	No category	No subcategory	Trønder satser stort på motemessa
N145	100sport	fotball	Bekreftet: Nå er han ferdig i Rosenborg
N146	nyheter	trondheim	- En flyvende brann
N147	nyheter	trondheim	- Er det nødvendig å ha en dating-app rettet mot 13-17-åringer?
N148	nyheter	utenriks	Sverige: Kvinne troppet opp til politiet og tilsto 22 år gammelt drap
N149	nyheter	innenriks	Stjerneskudd brenner varmere enn et bål
N150	No category	No subcategory	Kontakt redaksjonen
N151	nyheter	trondheim	Regnværet stoppet ikke de ivrigste
N152	kultur	vin	Den nye stjerna i Ribera del Duero
N153	100sport	mesterskap	Nathalie visste knapt hva styrkeløft var. To år senere satte hun verdensrekord.
N154	nyheter	moreromsdal	Seks kommuner vil til Trøndelag, men politikere kjemper imot
N155	pluss	kultur	Har jobbet i hemmelighet for å bli best i verden
N156	nyheter	okonomi	Robot i klasserommet
N157	No category	No subcategory	Hva hvis juletrær var en muslimsk tradisjon?
N158	nyheter	sortrondelag	Slik skal du kjøre i rundkjøringer
N159	kultur	vin	Vin til ribbe og pinnekjøtt
N160	nyheter	nordtrondelag	Rypejegere i Ogndal funnet
N161	nyheter	trondheim	Ingar lurte betjeningen – basehoppet fra Tyholttårnet
N162	nyheter	okonomi	Har du leieboer må du måle radon
N163	No category	No subcategory	Fv714 Hitra
N164	nyheter	okonomi	Sparebank 1 SMN setter tak på hvor mye du får låne
N165	nyheter	okonomi	Se hvilket serveringssted som kommer på jernbanestasjonen
N166	100sport	sjakk	Carlsen tilkalte dommeren etter dramatisk tap for Karjakin
N167	pluss	okonomi	Nå styres et oljefelt fra Torget i Trondheim
N168	nyheter	trondheim	- Vi kan ikke akseptere at han deltar i slike grupper
N169	nyheter	sortrondelag	Marte har hjertefeil og hunden Scott er blind. I juni gikk de Sør-Trøndelag på langs
N170	No category	No subcategory	Minneord: Ørnulf Roar Øyen
N171	No category	No subcategory	Økt vrakpant skal få fart på salget av elektriske varebiler
N172	sport	sprek	Når blir energidrikk farlig?
N173	No category	No subcategory	- Jeg hadde øvd 100 prosent
N174	nyheter	trondheim	To skip ligger fortsatt i Trondheim
N175	No category	No subcategory	Hun er den ukjente halvtrønderen i Stjernekamp
N176	forbruker	hjem	12 vasketriks du bør kunne
N177	pluss	nyheter	Nå blir det enda mer bråk om vinterparken
N178	nyheter	trondheim	Kommer hjem fra drømmeferien med diaré
N179	nyheter	sortrondelag	Vil fortsette med bompenger etter at denne veien er nedbetalt
N180	nyheter	utenriks	- Bevæpnet gjerningsmann er fortsatt på frifot
N181	nyheter	trondheim	- Leter etter mistenkte utenfor Norge
N182	nyheter	trondheim	Jarbel skrev epost full av Åge-låter. Se hva BN bank svarte
N183	No category	No subcategory	Tesla kan ødelegge for ladbare hybrider
N184	No category	No subcategory	Børge Pedersen om ensomhet og rus
N185	nyheter	trondheim	Politiet bekymret for ny MC-klubb i Trondheim
N186	nyheter	trondheim	Gjett hvor vi fant sesongens første skiløper i Trondheim
N187	No category	No subcategory	Ølkrig gir prisfest
N188	100sport	vintersport	Supertalentet som sjokkerte alle: Disse bør du følge med på i 2017
N189	nyheter	trondheim	- Saltet ødelegger syklene og vinterføret
N190	tema	arets tronder	Se hvem som er foreslått til Årets trønder
N191	nyheter	okonomi	Banktopp kjøpte bolig til 11,5 millioner
N192	nyheter	trondheim	Dopinghovedmenn må sone over 21 år
N193	pluss	nyheter	Religiøs leder tiltalt for overgrep mot døtre
N194	nyheter	okonomi	Rema 1000 avslutter VG-samarbeid
N195	nyheter	trondheim	Frykter feilinformasjon om HPV-vaksinen
N196	nyheter	trondheim	Her legger gigantskipet til kai i Trondheim
N197	nyheter	sortrondelag	Elbiler taper for ladbare hybrider
N198	No category	No subcategory	Sjekk hvem som skal stå sammen med Åge på denne scenen neste sommer
N199	nyheter	okonomi	Slik sjekker du om du har fått igjen penger på skatten
N200	nyheter	trondheim	- Er det nødvendig å ha en dating-app rettet mot 13-17-åringer?
N201	meninger	ordetfritt	Jan Erik Vold skriver blues om Therese Johaug: «Men salva var gæern salve, det ble Thereses skam»
N202	nyheter	sortrondelag	Lettbåt gikk på grunn da den skulle redde havarist
N203	nyheter	trondheim	21 bilister må betale piggdekk-bot
N204	No category	No subcategory	I New Orleans danser de med sine døde
N205	No category	No subcategory	Våvatnet, Orkdal
N206	nyheter	okonomi	Denne gikk 1,3 mill. over prisantydning
N207	nyheter	trondheim	Trafikkuhell i Okstadbakken
N208	nyheter	nordtrondelag	Potetbøndenes skrekk
N209	pluss	magasin	Bilder fra arkivet: Her herjer uvær og storm med Trøndelag
N210	nyheter	sortrondelag	- To av dem var slått i hjel og den ene var kappet i to
N211	nyheter	okonomi	Magnus Reitan går av som kiosksjef
N212	100sport	sprek	Det er lettere å trene om du gjør dette først
N213	pluss	magasin	Disse kjendisene gikk bort i 2016
N214	nyheter	okonomi	Får millionene til å yngle
N215	nyheter	trondheim	Her er ni vanlige feil hundeeiere gjør
N216	nyheter	trondheim	Trøndersk ABC
N217	nyheter	okonomi	Reitan-familien tar ut 200 millioner i utbytte
N218	nyheter	okonomi	Reinertsen ber om gjeldsforhandlinger
N219	nyheter	trondheim	- Minst 100 000 vil ha problemer med bussbeltene i Norge
N220	nyheter	sortrondelag	Kjørte med dødelige promiller på trønderske veier
N221	nyheter	okonomi	Rekordresultat for Reitan
N222	nyheter	trondheim	- Vanskelig å finne venner i Trondheim
N223	nyheter	trondheim	Ny sjekke-app tar av - forteller deg hvem du møtte på gata
N224	nyheter	trondheim	Jekket opp båt etter innbrudd
N225	nyheter	okonomi	DB-Gruppen kjøper De 3 Stuer Kantiner
N226	nyheter	politikk	De blir landets mektigste politikerpar
N227	nyheter	sortrondelag	Midnattsfyrverkeri avlyst
N228	100sport	sjakk	Til og med Saddam Husseins Irak ble valgt som VM-vert: - Ingen moralske sperrer
N229	No category	No subcategory	Skansen småbåthavn, Trondheim
N230	nyheter	innenriks	Slik beskriver statsministeren Sandberg og Helleland
N231	No category	No subcategory	«Kæm har veilta cola i spriten min, nå svineri har havna i heimertn min»
N232	No category	No subcategory	Lynkurs i trøndersk
N233	kultur	tv	Tonje skal forsvare trøndernes ære i «Kjendis-Farmen»
N234	No category	No subcategory	Nå stenges Oslo Lufthavn for aller første gang
N235	kultur	tv	Han er årets morsomste tv-komiker
N236	nyheter	trondheim	Byhistorie ble lagt i aske
N237	nyheter	trondheim	Startet det nye året med fyrverkerishow
N238	sport	hopp	Ble bedt om å bli i Østerrike
N239	nyheter	trondheim	Ida Marie fikk seg en overraskelse da datteren (4) var til frisøren
N240	forbruker	sexogsamliv	ORGASME
N241	No category	No subcategory	Gjør suksess på Instagram med disse tipsene
N242	nyheter	okonomi	Øl-pol til Trondheim
N243	nyheter	trondheim	Nå må du punge ut for piggdekkene
N244	pluss	nyheter	Hun blir ny oppvekstdirektør
N245	No category	No subcategory	Debbie Reynolds er død – dagen etter datteren
N246	No category	No subcategory	Snapchat har blitt helt annerledes
N247	100sport	sjakk	Plutselig kunne man høre et skrik i salen. Carlsen «visste ikke at det var så lytt»
N248	No category	No subcategory	Derfor lukter vaskemaskinen din vondt
N249	nyheter	sortrondelag	Her tar Linn badetrenden et møkkete skritt videre
N250	nyheter	trondheim	Slik lager du perfekt lutefisk
N252	nyheter	trondheim	Her tar (nesten) alle influensavaksinen
N253	pluss	nyheter	- Pensjonskuttene er totalt uakseptable
N254	nyheter	nordtrondelag	Én person omkom etter ulykke med stridsvogn
N255	nyheter	sortrondelag	Olav den helliges kirke på arkeologisk toppliste
N256	nyheter	trondheim	Her er de nye redaktørene i Adresseavisen
N257	nyheter	trondheim	- Jeg er både trist og rørt inni meg
N258	nyheter	trondheim	- Forsøkte å lure bank med mulig falske penger
N259	nyheter	okonomi	Norsk Kylling venter til februar med flytte-avgjørelse
N260	nyheter	trondheim	Derfor gikk det kofteopptog gjennom Midtbyen
N261	nyheter	trondheim	Frykter «katte-hiv» hos katter i Trondheim
N262	No category	No subcategory	Forskere advarer mot kunstige juletrær
N263	pluss	nyheter	Noen jubler for regnværsjul
N264	nyheter	trondheim	Her trener du billigst i Trondheim
N266	No category	No subcategory	Disse trondheimsrestaurantene er blant Nordens beste
N267	nyheter	okonomi	Witzøe vant skattekrigen
N268	nyheter	trondheim	Safe-tyven ble tatt på fersken av hotelldirektør
N269	nyheter	trondheim	Vilde er trondhjemmer nummer 190 000
N270	nyheter	sortrondelag	Rolf (22) etterlyser venner via Facebook
N271	No category	No subcategory	Gråura, Sunndal
N272	nyheter	okonomi	Brukbar/Blæst slår seg selv konkurs
N273	No category	No subcategory	Høyre-representant hardt ut mot Helleland
N274	No category	No subcategory	Fem «hemmelige» tips til danmarksferien
N275	No category	No subcategory	«Hvorfor pratet og oppførte bestefar seg så rart etter julemiddagen?
N276	nyheter	innenriks	Verver Volkswagen-kunder til massesøksmål
N277	nyheter	sortrondelag	Utforkjøring og kollisjon med stolpe
N278	No category	No subcategory	Nå kan du se «The Grand Tour»
N279	No category	No subcategory	- Rimelig vikar, ikke sant!
N280	No category	No subcategory	Emma og William på navnetoppen
N281	nyheter	helse	Her er legene som tror på mirakler
N282	nyheter	trondheim	- Blod og oppkast er det verste
N283	nyheter	nordtrondelag	- Aldri tatt en prostituert med så mye penger
N284	nyheter	trondheim	Laveste vekst i innbyggere på over ti år i Trondheim
N285	No category	No subcategory	- Innebygget radar for å oppdage lesbiske
N286	kultur	rockamiddag	- Latterlig enkelt å lage
N287	forbruker	hjem	Har du matos på badet...
N288	No category	No subcategory	I denne barnehagen går alle likt kledd
N289	No category	No subcategory	Disse bakkene åpner i helgen
N290	pluss	magasin	Gammel avisreklame: «En pike skal lukte godt også når hun er alene»
N291	pluss	okonomi	Stenger butikken i Midtbyen etter 26 år
N292	nyheter	nordtrondelag	Se de turbulente landingene på Værnes
N293	nyheter	trondheim	Dette tyvegodset mistenker politiet er fra innbruddene i Trondheim
N294	nyheter	nordtrondelag	Kraftige vindkast forhindret landinger på Værnes
N295	No category	No subcategory	Anne B. Ragde har kåret årets erotiske dikt
N296	meninger	ordetfritt	Noe så inn i gamperæva elendig har jeg ikke vært med på før
N297	nyheter	kuriosa	IL Tempo Spark
N298	No category	No subcategory	- Ringenes Herre er ingen barnefilm
N299	nyheter	trondheim	Norsk Tipping fikk tak i den siste vinneren første juledag
N300	No category	No subcategory	Psykopatens farlige makt
N301	pluss	magasin	Disse rådene gir eldre fra fem verdensdeler til dagens unge
N302	100sport	sjakk	Norsk tenåring vekker oppsikt i VM: - Jeg vet ikke hva som skjer
N303	100sport	fotball	For fem år siden sluttet Magne med heroin. Det skal en av Norges rikeste menn ha en del av æren for.
N304	No category	No subcategory	Test av juleskinke
N305	No category	No subcategory	Bruce satte Granåsen på verdens rockekart
N306	nyheter	sortrondelag	Aldri før har så mange reist kollektivt i Sør-Trøndelag
N307	No category	No subcategory	16-åring får spille med verdens beste musikere
N308	No category	No subcategory	Det kan bli legestreik. Det handler ikke om lønn. Men at jeg skal kunne gjøre en god jobb.
N309	nyheter	trondheim	- Stripping er også kunst
N310	nyheter	trondheim	Kom til sin egen vielse med blålys og sirener
N311	nyheter	kuriosa	Send oss ditt pepperkakebilde
N312	nyheter	trondheim	- Jeg var død i ti minutter
N313	kultur	musikk	Får synge med D.D.E
N314	No category	No subcategory	Dronning Sonja og Aha-Furuholmen åpner utstilling i Ila
N315	pluss	nyheter	- Vi har pakket sammen et liv i Trondheim, og startet en ny hverdag
N316	nyheter	helse	Vanskelig å takle psykopaten
N317	forbruker	sexogsamliv	POTENSPROBLEMER
N318	No category	No subcategory	Adresseavisens rettigheter
N319	nyheter	trondheim	Tipser om enkle studiepoeng på NTNU
N320	nyheter	trondheim	- Mann truet og slo med øks på Heimdal
N321	No category	No subcategory	Hvorfor sier vi til alle de skoleflinke ungdommene at de må velge realfag?
N322	nyheter	okonomi	Magnus Reitan selger rekorddyr fritidsleilighet
N323	forbruker	sexogsamliv	BARBERING
N324	No category	No subcategory	Syv sosiale medier som barna kjenner bedre enn deg
N325	nyheter	sortrondelag	Sterk vind stanset ferja mellom Flakk og Rørvik
N326	nyheter	dokument	En atombombe over Trondheim
N327	pluss	magasin	Snåsamannen: - Det er det som har gitt meg styrke i livet, at jeg fikk disse evnene og fikk møte så mye folk.
N328	nyheter	sortrondelag	Falsk AtB-billett spres via sosiale medier
N329	nyheter	trondheim	Se nordlyset over Trondheim
N330	No category	No subcategory	Bjørn Lyng (80) fikk sin Irina (29)
N331	nyheter	trondheim	Skal ha fantasert om å drepe og voldta unge jenter
N332	nyheter	sortrondelag	- Totalt kaos, og verre blir det
N333	nyheter	politikk	Møtes til fylkesordførerduell
N334	pluss	nyheter	Øya-beboere vil ikke ha «Dora 3» i nabolaget
N335	No category	No subcategory	Dette er noen av verdens kuleste passtempler
N336	sport	sprek	Gjør vann deg slankere?
N337	nyheter	trondheim	Landet på 15 etasjer i Holtermanns veg
N338	nyheter	trondheim	- Aldri sett noe liknende
N339	nyheter	sortrondelag	– Vi hadde et anstrengt forhold
N340	nyheter	nordtrondelag	Trønder fikk sms fra «Expert» om gratis tv - viste seg å være svindel
N341	nyheter	trondheim	- Vi ble behandlet som kriminelle
N342	nyheter	helse	- Uhelbredelig syke Kris bør få pengene nå
N343	forbruker	sexogsamliv	FETISJME
N344	No category	No subcategory	Største brann siden krigen
N345	No category	No subcategory	Trondheims stiligste studentboliger?
N346	No category	No subcategory	Siktet om voldssak: - Ville bli slått i hodet med flaske
N347	pluss	okonomi	- Det er for mange puddinger blant norske sjefer
N348	No category	No subcategory	I dag kan du se sesong 4 av «Vikings»
N349	pluss	kultur	Pizzakokken inn på teppet
N350	No category	No subcategory	Disse tre spiller på en festival nær deg til sommeren
N351	nyheter	nordtrondelag	Paraglider styrtet i Stjørdal
N352	nyheter	sortrondelag	Rindal blir ikke en del av Orkland
N353	nyheter	trondheim	Mann gjenopplivet i Pirbadet
N354	No category	No subcategory	Unngå tørr fugl på nyttårsaften
N355	No category	No subcategory	Dette tjener de på partylivet ditt
N356	100sport	vintersport	Fransk profil langer ut mot Norge: – Hvordan er det mulig å prestere så dårlig?
N357	nyheter	trondheim	Fikk jobb i julegave
N358	forbruker	fritid	Er isbading sunt?
N359	nyheter	trondheim	Åtte personer mistet hjemmet sitt i brann på Byåsen
N360	nyheter	trondheim	Er vannet ditt grønt?
N361	nyheter	trondheim	Syklet med flatskjerm på sykkelen. Begge var stjålet
N362	nyheter	sortrondelag	Gled deg til 2018 – da blir det mye fri
N363	No category	No subcategory	Slik blir været resten av måneden
N364	pluss	meninger	Tre kvinner i spissen for samene
N365	nyheter	trondheim	Storbrann i Trondheim | #adressa
N366	nyheter	okonomi	Snart kommer skattepengene på konto
N367	nyheter	nordtrondelag	Disse spektakulære flyene landet på Værnes i 2015
N368	nyheter	moreromsdal	Helsetilsynet vil straffe helseforetak i Sebastian-saken
N369	nyheter	trondheim	Lege dømt til fem års fengsel for pasientovergrep
N370	No category	No subcategory	Wesenlund bisettes i dag
N371	sport	skiskyting	Nåvik nærmer seg GULL-Emil
N372	nyheter	trondheim	Åpner kranene på Bakklandet
N373	nyheter	okonomi	20-åring fra Trondheim veddet én million - og vant
N374	No category	No subcategory	De 20 beste filmene på kino i 2015
N375	nyheter	trondheim	Påkjørsel bakfra i Bjørndalen
N376	No category	No subcategory	Dropper «Vårres jul» fra repertoaret
N377	nyheter	trondheim	Politiet har avsluttet leting på Risvollan
N378	forbruker	hjem	Sliten sofa får nytt liv
N379	No category	No subcategory	Denne kunstneren får 2,3 millioner i stipend
N380	100sport	sprek	Her er trikset for at ikke kroppen skal forfalle når du passerer 40
N381	nyheter	kuriosa	Påskens store krim-quiz
N382	nyheter	sortrondelag	Fant skilpadde i strandkanten
N383	nyheter	sortrondelag	Nødbluss sendt gjennom vindu startet branntilløp
N384	No category	No subcategory	En hiva fest!
N385	nyheter	trondheim	Dette synet får du ikke se i år
N386	No category	No subcategory	Steffen er anmeldt for å redde en av Norges mest berømte gitarer
N387	No category	No subcategory	Tidligere misser
N388	nyheter	trondheim	Nå forsvinner Freiaskiltet
N389	nyheter	trondheim	Dro opp 492 kg hai med stang
N390	nyheter	trondheim	Frykter horer i gatene
N391	No category	No subcategory	Regn og snøsmelting gir økt fare for jordskred i Trøndelag
N392	100sport	fotball	Stortalent (15) vraket Rosenborg og Vålerenga
N393	nyheter	innenriks	Dette bør du ikke spise etter holdbarhetsdatoen
N394	nyheter	utenriks	- Jeg synes det er ekstremt ubehagelig
N395	nyheter	utenriks	Se de dramatiske bildene fra angrepene
N396	100sport	sjakk	Carlsens siste trekk fikk ekspertene til å skrike. Hylles som VM-historiens beste
N397	nyheter	trondheim	Hun hacket en skarpskytter-rifle
N398	nyheter	trondheim	Åpenbart beruset mann i trafikkulykke på Byåsen
N399	pluss	meninger	Fem ting vi bør tenke annerledes om i 2017
N400	nyheter	okonomi	Får ikke solgt denne til 25 millioner kroner
N401	nyheter	sortrondelag	Så dyrt blir det å kjøre på rødt
N402	No category	No subcategory	13-åringer angrer på at de så porno
N403	nyheter	trondheim	Trailer krasjet i midtrabatten på E6
N404	nyheter	okonomi	De viktigste endringene - og her skal de ta pengene fra
N405	nyheter	trondheim	- I min tid her i Trondheim parkering har vi aldri gjort noe lignende
N406	No category	No subcategory	Dette er vinterens «må ha» for menn
N407	nyheter	trondheim	- Vent med nettdating og turer på byen
N408	nyheter	okonomi	Ingen streik i Get Inspired
N409	nyheter	trondheim	«Hun mistet pusten og ble helt grå i fjeset»
N410	pluss	okonomi	Selger eneboliger til én million over antydning
N411	pluss	meninger	Uførereformen er en katastrofe for mange
N412	nyheter	innenriks	Hurtigruten endrer avgangstider
N413	nyheter	trondheim	Derfor tapte Hillary
N414	nyheter	nordtrondelag	Tør ikke stole på leveringen - flytter julaftenavisa én dag
N415	nyheter	trondheim	Vikåsen ble ingen by
N416	nyheter	trondheim	- Du bør ikke la hunden din hilse på annen hund i bånd
N417	pluss	okonomi	Dette skal bli den nye restauranten ved Bybrua
N418	No category	No subcategory	Derfor skal du slå deg til ro med å være helt vanlig
N419	pluss	nyheter	Åpner unik restaurant i «ny» bydel i Trondheim
N420	pluss	nyheter	Atb måtte utsette anbudskonkurranse for omlegging av busstilbudet i Trondheim
N421	pluss	okonomi	Har kartlagt også seg selv
N422	nyheter	trondheim	Se hva folk sikret seg da Britannia-møblene ble lagt ut for salg
